Key,Date,Pro,Pro Cell,Shipper,Consignee,Product,Status,Target Weight,Net Weight,Railcar 1,Batch 1,Railcar 1 Weight,Railcar 2,Batch 2,Railcar 2 Weight,Shipper Order,Customer PO#,,,,,,,,,,,,,,archive_status
TBOA 1,8/12/2024,61934,G4,EXXON,"YANFENG - LOUISVILLE, KY",PP8285E1,Yes - On Dispatch Schedule,48000,46560,ECUX 880637,24G1683A1,46560,,,,,,,,,,,,,,,,,,,TRUE
TBOA 2,8/12/2024,61821,O4,SEMCO,"SEMCO - ST LOUIS, MO",RN-29H (HDPE),Yes - On Dispatch Schedule,STRIP OUT,33200,CCBX 72502,RN-29H (7-22-24),33200,,,,,,,,,,,,,,,,,,,TRUE
TBOA 3,8/12/2024,61935,W4,EXXON,"EPC - LEBANON, KY",PP7855E1,Yes - On Dispatch Schedule,48000,47920,ECUX 860330,24E3083A8,2540,ECUX 881256,24G0983A5,45380,,,,,,,,,,,,,,,,TRUE
TBOA 4,8/12/2024,61939,G22,LYONDELLBASELL,"AXIUM PKG - JEFFERSON CITY, MO",LR734022,Yes - On Dispatch Schedule,48000,47420,EQUX 16865,CB124E3002,16180,WFRX 884598,CB124E2704,31240,,,,,,,,,,,,,,,,TRUE
TBOA 5,8/12/2024,61940,O22,LYONDELLBASELL,"NASCOTE INDUSTRIES - NASHVILLE, IL",HIFAX TYC 1342X,Yes - On Dispatch Schedule,48000,47320,EQUX 23274,DE29M0701,47320,,,,,,,,,,,,,,,,,,,TRUE
TBOA 6,8/12/2024,61941,W22,LYONDELLBASELL,"DEE ZEE INC - WEST DES MOINES, IA",HIFAX TRC 779P 848,Yes - On Dispatch Schedule,47000,46180,NRLX 62000,DE12T0601,46180,,,,,,,,,,,,,,,,,,,TRUE
TBOA 7,8/12/2024,61946,G40,CP CHEM,"SCHUETZ CONT SYS - ST JOSEPH, MO",C51301UV,Yes - On Dispatch Schedule,47000,47000,PSPX 2586,PRF611190,47000,,,,,,,,,,,,,,,,,,,TRUE
TBOA 8,8/12/2024,61947,O40,CP CHEM,"PRIMEX PLASTICS - RICHMOND, IN",9503H,Yes - On Dispatch Schedule,47000,46820,SOXX 621312,NRE120190,46820,,,,,,,,,,,,,,,,,,,TRUE
TBOA 9,8/12/2024,61957,W40,CP CHEM,"ALTIUM PKG - MEMPHIS, TN",9503H,Yes - On Dispatch Schedule,47000,47260,SOXX 621312,NRE120190,47260,,,,,,,,,,,,,,,,,,,TRUE
TBOA 10,8/12/2024,61958,G58,LYONDELLBASELL,"HILAND DAIRY - KANSAS CITY, MO",LM600700,Yes - On Dispatch Schedule,48000,48680,EQUX 631355,CL424G07A1,48680,,,,,,,,,,,,,,,,,,,TRUE
TBOA 11,8/12/2024,61959,O58,FORMOSA,"GREENSTREAK - ST LOUIS, MO",H685P,MOVED,45000,0,FPAX 214581,2404214581,0,,,,,,,,,,,,,,,,,,,TRUE
TBOA 12,8/12/2024,61960,W58,EXXON,"TOYOTA BOSHOKU - BARDSTOWN, KY",PP8285E1,CANCELLED,48000,47920,XOMX 717009,24G1683A2,47920,,,,,,,,,,,,,,,,,,,TRUE
TBOA 13,8/12/2024,61969,G76,OXY,"EAGLE PKG INC - EARTH CITY, MO",226FEP,Yes - On Dispatch Schedule,45000,47000,OCPX 71022,5470N5B027,47000,,,,,,,,,,,,,,,,,,,TRUE
TBOA 14,8/12/2024,61919,O76,LYONDELLBASELL,"PRETIUM PKG - AURORA, IL",L5840,Yes - On Dispatch Schedule,"45,000 MAX",45520,TILX 620118,MT124F1421,45520,,,,,,,,,,,,,,,,,,,TRUE
